ID,answer
28,"50/50 is faster but riskier as the new placement may have a negative impact on customers and also has the advantage of easy comparison since the number of users who saw the old placement and the number of users who saw the new placement are equal, so the data is available quickly. 80/20 is slower but riskier and does not impact the user experience as much. The 80/20 model seems to be more suitable for this problem because it is lower risk even though it is slower."
29,"Agree, because I want to know if moving the ad position to increase sales is effective compared to the original position and for such cases, using a/b testing will make it easier to draw conclusions."
30,"Disagree: Due to the limitations of binomial distribution, if an experiment needs to analyze results from complex data (e.g. time spent on the platform or user engagement patterns), binomial distribution may not be sufficient to capture such complex data. "
31,A/B testing will help us tell whether the &quot;new&quot; or &quot;old&quot; product that Hamtaro will place the ad on will increase sales more. Because A/B testing is a statistical hypothesis testing to tell according to statistics whether the new product is better or not.
32,"50-50 model Advantages - Easy analysis since sample size is same, less bias - If load balancing is used, 50-50 will not be as heavy as weighted model. Disadvantages - If ads don&#39;t work, that means 50% of people will experience the change, which may lead to negative effects such as more word of mouth. - Resource management requires more resources to migrate. 80-20 model is like reversing 50-50. Advantages - Less negative effects since only 20% of people will experience the change. - Easier mitigation, more economical. Disadvantages - Less statistical power - Bias because fewer people will not be representative. If Hamtube has a lot of traffic, is a reputation-sensitive site, and has enough capital and resources, I would choose 50-50. Otherwise just pick 80-20 as it is safer. "
33,"Yes, A/B testing is an effective way to evaluate the results of changes between two options (A and B) without external variables influencing the outcome. In the context of a retailer testing the relocation of an advertisement, employing A/B testing enables a clear and immediate assessment of whether this change impacts sales or not."
34,"Agree because - The data is binary (pressed/unpressed) which is consistent with the use of binomial dist - Binomial dist can be calculated quickly, making it easy to understand the results - Binomail allows the calculation of confidence intervals"
35,"The 50/50 option is to choose a higher proportion of ads in the new location, which will result in a much shorter testing period since the results will be faster because there will be more ads in the new location. However, the main disadvantage is that it is more risky because if the ad placement change is not effective, it will lose a lot of sales from the test. On the 80/2 side, the test will be slower because there is a smaller proportion of ads in the new location, but it is also less risky because there is a higher proportion of ads in the original location that have known sales. In Hamtube&#39;s A/B testing problem, the 80/20 option is more appropriate because ads are a source of high revenue for the platform. Moving the ad placement may result in an increase in disliked users, which can significantly reduce sales."
36,"Granularity = The number of times a user clicks on an ad, to measure whether users click on an ad more if the position changes. Attribution period = 1 week. Consider an attribution period that is not too long to allow for quick response and adjustment when results are seen.
"
37,I agree with Hamtaro because Binomial Distribution is suitable for A/B testing with two possible outcomes (e.g. click or no click) and helps in calculating the probability of the outcome.
38,"Advantages - It allows for a precise comparison of the results of both versions because the number of viewers who saw each version is the same. It reduces bias in the experiment because all viewers had the same chance to see both versions. - It takes less time to experiment than the 50/50 ratio because it allows for a sufficient number of samples to compare the results faster. Disadvantages - It may take a long time to experiment because it takes longer to get a sufficient number of samples to compare the results. Advantages and disadvantages of choosing the 80/20 ratio - It may result in inaccurate results because the number of viewers who saw each version is not the same, which may cause the results of the two versions to differ by chance. Conclusion - From the advantages and disadvantages of both ratios, it can be seen that the 50/50 ratio gives more accurate results but takes longer to experiment. The 80/20 ratio takes less time to experiment but may result in inaccurate results. - If Hamtaro wants the most accurate results, choosing the 50/50 ratio would be a better choice. However, if Hamtaro wants to save time in the experiment, choosing the 80/20 ratio would be a better choice. - In the case of Hamtaro who wants to test changes in the placement of ads, which may affect viewer behavior in the long term, I recommend choosing the 50/50 ratio to make the experiment results as accurate and comprehensive as possible."
39,"A/B testing should be used in testing because we want to test between the original ad position and the new ad position to see if the ad position actually affects sales, so it is appropriate to use A/B testing."
40,"Depending on the size of the channel, the risk that Hamtaro is willing to take "
41,"50/50 has the advantage of speed since both groups are the same size, so data can be collected from both groups quickly. However, the disadvantage is that half of the users will see the changes. If the changes cause any problems, it will increase the risk to the platform. 80/20 has the advantage of only 20% of the users will see the changes, so it can reduce the risk of any problems from the changes. However, the disadvantage is that it takes longer than 50/50 because the number of users who see the changes is much different from the number of users who use the old model. Therefore, it will take more time to collect enough data from the users. For this problem, 80/20 is more appropriate because the problem is not urgent and is related to sales, so it should not cause more risk than necessary."
42,"50/50 will allow for a full sample collection faster, but also carries a higher risk of losing clicks from Group B, compared to 20/80, which is less risky but takes longer to collect. Since clicks may affect the advertising revenue on hamtube, and there is no rush to reach a verdict, the 80/20 split is more appropriate."
43,"Agreed, because A/B testing is often used to test things, requiring an initial reference and a new interface change, by testing it on real user experiences to test those hypotheses, which is in line with the need to test new ad placements, while still having the old one and not exceeding the limitations of using A/B testing."
44,I agree that A/B Testing should be used because it is better to test whether the ad will stay in the same place or move.
45, Agree because clicking or not clicking on an ad can be a success or failure (0/1)
46,"It is not suitable because if we want to measure other outcomes that are not clicks, such as time spent on the platform, share clicks, etc., the binomial distribution will not meet the requirements."
47,"The advantage of 50/50 is that Hamtaro will have an equal number of users testing both cases, making the results closer to the truth than 80/20. But the disadvantage is that Hamtaro will have a higher risk in testing if the new ad placement is not successful. Here, we will choose to use the 50/50 ratio because we see that each user has variables that will suppress the ad placement in the new position that are very different. Therefore, we should use more samples in the experiment to get a close value because advertising is an important part that should be studied clearly for long-term use."
48,Bernoulli changed the number of times people clicked on an ad in a sample group.
49," The 50/50 split takes less time to experiment than the 80/20 split because it has a larger sample size of users who experience the ad repositioning. However, the 50/50 split is riskier than the 80/20 split because there is a chance that users will dislike Hamtube&#39;s change and it will have a negative impact on the product&#39;s image. The 50/50 split is better because it takes less time to decide whether the ad repositioning will increase the number of clicks on the ad. As for the risk of users disliking the change, the ad repositioning should not have a negative impact on users enough to damage Hamtube&#39;s image.
"
50,"50/50 Advantages: - Balance: Equal grouping of users results in balanced and easily comparable data. - Speed: Data is obtained quickly and sufficient for analysis and decision-making. Disadvantages: - Impact: If the change is negative, it will affect a large number of people. 80/20 Advantages: - Low risk: If the change is negative, it will affect a small number of people. - Easy to test: New ideas or innovations can be easily tested without affecting a large number of people. Disadvantages: - Slow: It takes a long time to collect data to obtain significant data. - Insufficient data: Due to the small number of subjects, time is limited, so the data collected will be too little. Conclusion: 80/20 because it can reduce the negative risk that may affect a large number of people, but it is necessary to have enough time to collect data."
51,"Agree because we can see whether users click or not on the ad, which is consistent with the binomial distribution. By choosing the binomial distribution, we can calculate various statistical values from the data."
52,"Hamtaro should use A/B testing because it will allow him to see whether moving the ad position affects sales or not, regardless of other confounders."
53,"50/50 Ratio: Advantages: It is a dedicated test because both groups are given equal exposure to both ad placements: The 50/50 ratio allows both the control variable (old placement) and the experimental variable (new placement) to be tested equally. This can help Hamtaro get equal data to analyze the results. Disadvantages: It does not check whether the change has a significant effect: Choosing a 50/50 ratio may not be able to check whether the ad placement change has a significant effect because both groups are tested equally. 80/20 Ratio: Advantages: More weight given to the experimental group: In this case, 80% of the users will see the ad at the new location, which can help Hamtaro collect more significant data than the remaining group. Disadvantages: It is not tested equally: Giving more weight to the experimental group (80%) can cause the results to be influenced more by this group, which may result in inequitable results for the control group. Appropriateness: Which ratio is appropriate to choose depends on the objectives and questions that Hamtaro wants to answer. If the goal is to test whether the ad placement change has a significant effect, choosing a 50/50 ratio is a good choice. But if Hamtaro wants to collect more significant data from the experimental group, the 80/20 ratio might be a good choice, to give more weight to the experimental group of interest."
54,"50/50 will allow us to compare the results of clicking on the ad of the old and new positions equally, but 50/50 will prevent us from examining the effects of other uncontrollable variables, such as the personal preferences of the testers. 80/20 will allow the results of changing the button position to be based on the preferences of the majority of people, making the results of this change more reliable than the 50/50 method. However, 80/20 will make the comparison of the results of the change and non-change groups more complicated because the sample groups are not equal. I think Hamtaro should choose the 80/20 method to get the most likely data from the sample group, but it may need to collect more data for analysis to be highly reliable."
55,"80/20 because it is safer in case the new ads do not work and affect the usage and his boss does not rush to submit the conclusion soon, so it can be done gradually."
56,I agree with using Binomial Distribution because clicking on an ad has two outcomes (click or not click) which makes it suitable to use Binomial distribution and Binomial distribution makes it easy to calculate probability and compare outcomes between two groups.
57,"Choosing a 50/50 split cause &quot;Investing involves risks, so let&#39;s embrace it&quot;. It&#39;s a faster approach, though less secure. On the other hand, an 80/20 split is play safe way, prioritizing security over speed."
58,"Agree because the result of one experiment, what we are interested in is click or not click."
59,"A/B testing is essential for Hamtaro’s marketing team on the Hamtube platform to compare the results of moving ads to a new location with the original location. This method provides reliable data by randomly assigning users to a control group and an experimental group, giving a clear picture of the effectiveness of the change. A/B testing reduces business risk by testing the results before implementing the change on every user, reducing uncertainty and helping to adjust both immediate and long-term marketing plans based on the data, thus adapting and improving Hamtaro’s marketing plans on the platform."
60,"Granularity should be ads clicked/ unique user because ads clicked/ unique user shows how much the average user clicks on ads. Attribution period should be 1 day per session because when watching a video, users are more interested in videos than ads (no one wants to watch ads). So I assume that no new user will remember the ads from the previous day."
61,"Agree with Hamtaro that he chose to use binomial distribution to replace the distribution of A/B testing this time because binomial distribution follows the assumptions of A/B testing as follows: - There are a fixed number of experiments. - Each experiment is independent of each other. - The results of each experiment are independent of each other. - The results of the experiment are only 2 outcomes: success or failure. In Hamtaro&#39;s case, there are a fixed number of experiments, which is 1 month. Each experiment that the viewer sees the ad is independent of each other. And the result of each experiment is whether the viewer clicks the ad or not. Therefore, binomial distribution is suitable to replace the distribution of A/B testing this time."
62,"Agreed, because we can model our experiment as the likelihood of clicking ads, which is a discrete event with only two outcomes: click or not, and we collect data multiple times, which fits the definition of a binomial distribution."
63,"I agree with Hamtaro because if we look at the chance of users clicking on an ad as a success chance and doing it many times, it will be like a binary distribution."
64,"Agree because the number of times or click rate is always an integer, so a binomial distribution can be used to show the distribution of data."
65,"The 50/50 ratio can provide faster data flow compared to the 80/20 ratio, but it is more prone to misleading conclusions (current trends, seasonality, major events). Therefore, the 80/20 ratio is preferred because we want to know whether users click on more ads in the long run (no misleading conclusions)."
66,"Granularity cookies per 1 day attribution period should be 1 day, which is an appropriate period of time for user browsing and purchasing. It should not be too short or too long (depending on the type of product being advertised). If it is too short, users will have already viewed the product and not choose to view it, but it will still be counted."
67,"Binomial distribution is a probability distribution of an experiment with only two outcomes. When there are only two outcomes of interest, such as clicking or not clicking on an ad, the assumption that each outcome is independent, and there are enough experiments to use the Binomial distribution to estimate the probability of the outcome. The reason why using the Binomial distribution is a good choice may lie in the suitability of the statistical model to the experiment and the available data. However, it should be noted that there are limitations, such as the assumption that each outcome is independent, which is not true in some cases, and the potential for more complex calculations or analyses. The decision to use the Binomial distribution should be based on the nature of the data, the experiments available, and the suitability of the statistical model used. Theory and practice should be considered to make decisions about data analysis as reasonable and accurate as possible."
68,"Agreed, because A/B Testing is good for comparing the results (in this case, the number of times users click on an ad) of two actions, in this case, moving the ad position and not moving the ad position."
69,"I disagree because clicks are not independent of each event, as users who have clicked on an ad may behave differently than before they clicked."
70,"A/B testing should be used to test the placement of ads in Hamtube. A/B testing allows Hamtaro to see the impact of the placement of ads, adjust the variables being tested, and also allows Hamtaro to choose the best option.
"
71,"Using the binomial distribution in Hamtaro&#39;s A/B testing can be an appropriate choice because 1. It is a Bernouli&#39;s addition, and 2. The binomial distribution is suitable for data that has only two outcomes, such as &quot;click&quot; or &quot;no click&quot; on an ad. If Hamtaro&#39;s A/B testing experiment focuses on measuring the number of ad clicks, then using the binomial distribution is appropriate."
72,"Choosing the proportion of users exposed to the old and new placements has implications for A/B testing. The advantage of a 50/50 ratio is that it offers a win-win test with no transition lag, while an 80/20 ratio can help create new comparisons between variables and experiments without requiring a large number of users to be exposed to the new ad immediately. The disadvantage of an 80/20 ratio is that experiments can take longer to gather significant data for analysis and precision. The choice of the right ratio will depend on the needs of the experiment and the goals of the experiment, so a 50/50 ratio would be more appropriate for this problem, as it offers a win-win test with no transition lag."
73,"Hamtaro should use A/B testing because it allows Hamtaro to gather data on how users interact with different ad placements, allowing him to make informed decisions based on real user behavior. It also provides tangible evidence of the impact of ad placement changes on user interactions."
74,"Advantages of 50/50 - It provides balanced, equal data from both groups and allows for a fair comparison, reducing the risk of randomization error. Advantages of 80/20 - If there is concern about possible effects of the experiment, using a proportion that is biased towards the old position (80%) will reduce the risk. It is considered better to use 80/20 since it is the option that affects fewer users who click and therefore is the less risky approach."
75,"Hamtaro should consider using the binomial distribution for A/B testing. Here are the reasons. 1. Binary Outcome: The binomial distribution is well-suited for scenarios where there are only two possible outcomes for each trial, in this case, whether a user clicks on an ad or not. This aligns with the nature of click-through rate (CTR) measurements in A/B testing. 2. Independent Trials: The trials in A/B testing are typically independent, meaning that the outcome of one user&#39;s interaction with the platform does not affect the outcome of another user&#39;s interaction. The binomial distribution assumes independence between trials. 3. Fixed Number of Trials: A/B testing involves a fixed number of trials (users exposed to version A or B), and the binomial distribution is appropriate for situations where the number of trials is predetermined. 4. Simple and Well-Understood: The binomial distribution is a simple and well-understood probability distribution, making it easy to calculate probabilities and conduct statistical tests. This simplicity is advantageous for practical implementation in A/B testing scenarios."
76,"Ranularity should be at an appropriate level that allows results to be examined in a period that is not too short or too long. It should not be selected at a level that is too small to be able to compare changes, or it should be selected at a level that is too large to be difficult to analyze. Attribution period should be selected at an appropriate period of time according to the nature of the business and the usage pattern that Hamtaro uses in order to obtain data that reflects the reality of the results well enough."
77,"I agree because pressing has 2 events: pressing or not pressing, which is in line with the binary principle of doing or not doing."
78,"It should be Hits/Impressions and the attribution period should be one-min attribution because Hamtaro wants to know if the ad is clicked, which is something that if seen, people can immediately decide whether to click or ignore it. Therefore, having the granularity as Hits/Impressions is appropriate for the ad to be seen because people who see it and like it should click from the first time. There are not many people who see it and then go back to click."
79,"I agree with the use of A/B testing for testing the placement of ads on Hamtube, because there are important reasons for making marketing decisions: 1. User behavior: Different users in different situations may have different behaviors towards ads. For example, users in the part where the ad is shown may have different interests. A/B testing helps to understand the behavior of users in different situations and their responses to ads in detail. 2. Spatial marketing planning: A/B testing that places ads in different locations on the platform gives a comprehensive picture of the areas that affect ad response. 3. User customization: A/B testing helps to understand the preferences of users and how each group has different interests, so that marketing can be tailored to the target group effectively. A/B testing is a good way to thoroughly examine and adjust marketing for different users and environments. This way of checking will give Hemtaro the information he needs to make decisions to adjust his marketing plan with more confidence."
80,It is easy to define relevant metrics and clearly divide them into two assumptions.
81,"The granularity should be the number of times the video is viewed so that it can be compared to ad clicks, and the attribution period should be around 1 day."
82,It is the number of times ads are shown. The length of the attribution period is 1 day to check if users click on ads within 1 day.
83,I agree with using A/B testing in testing because it is a problem that can be easily divided into control and experimental groups by simply changing the UI of the user who accesses the website. 
84,"User Level: Setting granularity at the user level can provide very detailed information about individual behavior, making it easier to tailor marketing strategies to the needs of the target audience. Channel Level: Gathering data at the channel level can help you understand the performance of individual marketing channels, allowing you to tailor marketing strategies to each channel. Campaign Level: Setting granularity at the campaign level can provide an overview of the performance of different campaigns and help you analyze the results of all marketing activities. The attribution period should be based on the nature of your business and your customers’ behavioral patterns. If your business has customers who need a long time to make a decision, the attribution period should be long enough to cover this process. If your customers have a fast-moving behavior pattern, a shorter attribution period may be sufficient to analyze and adjust your marketing strategy. This period should be set in line with your marketing and business objectives."
85,"It should be used in a session format, with the length of the attribution period being around 15 minutes - 30 minutes, compared to the clicks in that session, for example, if clicked in that session, count as 1, if not, count as 0. The design is this way because most of the things that are placed in ads like this are probably not very expensive and the user can make a decision in a short period of time. If given more time, it is possible that the user clicking in may not be because of the ads, but may be due to other variables, such as buying according to friends, etc."
86,"Use A/B testing because it is a test with a group that saw the ad in the original position and saw the ad in the new position, which is divided into two groups and can conclude which one creates better sales."
87,"Click on all ads, all views to see how many people have viewed it in a day."
88,"50/50 Advantages: Easy and clear division, doesn&#39;t take long to collect sample size, testing can be done quickly. Disadvantages: High risk, may cause a lot of loss if the new advertising format makes less profit. 80/20: Advantages: Lower risk, not much loss if the new advertising format makes less profit. Disadvantages: Small sample size, needs much longer collection time. Assuming that hamtube is a fairly large company with many users, it must make the risk of loss low, so it&#39;s better to use 80/20."
89,"The granularity should be #click/#cookie-days, each cookie is a Bernoulli trial, and the attribution period should be 1 day because most people spend less than 1 day watching a video."
90,"A/B testing should be used because A/B testing is designed to test the old (A) and new (B) versions of an ad, in this case whether the new ad placement has an effect."
91,"It should be done because A/B Testing will result in 1. Data-Driven Decisions, not &quot;guessing&quot; and 2. Risk Mitigation. Changing the placement of all ads may cause the business results to drop. A/B testing will allow you to try with some customer groups to see if it works or not. In addition, you will get User Behaviour that Users tend to press which buttons or where to put things, whether they can be found or not. It can be used for other things besides Ads."
92,"A/B testing is a test of only two hypotheses (new ad position does not increase sales vs. new ad position increases sales), which is appropriate for this problem."
93,"Agreed, because this experiment has only one possible outcome: click or no click, which fits a binomial distribution, with only one possible outcome: success or failure."
94,"I agree because 1. It is a test of 2 different groups and we want to test which test gives better results. 2. In the experiment, there may be other things that affect our experiment, which is something called Randomness, because the experiment must involve many other factors that we cannot control. Therefore, using A/B test is appropriate by keeping all factors constant. The outcome will depend only on the position of the ad and Randomness. "
95,A/B testing is an ideal tool for testing ad placement changes to measure their impact on user clicks on your ads. This experiment allows Hamtaro to compare results between a group of users who saw the ad in the old position (the control group) and a group who saw the ad in the new position (the experiment group). The advantage of this method is the ability to assess the impact of a specific change while minimizing the impact of external factors.
96,"50/50 Ratio Advantages: An experiment is an experiment in which all items have an equal chance of being shown the new or old placement. This allows for comparable data in both situations. Disadvantages: The results are not immediate if there is a difference in results because there may be users with different behaviors. 80/20 Ratio Advantages: The experiment can provide immediate results and the results are available from a larger number of users who are exposed to the new placement, reducing uncertainty in decision-making. Disadvantages: The experiment may have skewed results if the results are shown to users who are more popular or have a higher chance of switching. The choice of ratio depends on the purpose of the experiment. If Hamtaro wants data from all user groups, a 50/50 ratio might be appropriate. However, if immediate results are needed and resources are limited, an 80/20 ratio might be a good choice because it allows for more efficient and effective data collection from a more likely group."
97,"I agree that Hamtaro uses A/B testing because what Hamtaro wants to know is whether moving the ad position will increase sales (more users click on the ad), and A/B testing is just two different versions of testing."
98,"Using a 50/50 split can collect more data, which allows for a shorter experiment, but there is a greater risk of a drop in sales since most users do not like this split. An 80/20 split can collect less data, which allows for a longer experiment, but there is a lower risk of a drop in sales since it is tested with fewer users. In this case, the 80/20 split should be used because it is possible that changing the ad position will cause a large drop in sales, and it is also important to see whether the increase in sales is due to the new group or the same group, since it is possible that the new group is just a fad, which may not actually increase sales."
99,"A/B Testing is recommended because it involves testing two audiences, seeing different ad placements, and determining which placement is more effective."
100,"Granularity A/B testing should be done at the individual user level to allow detailed analysis of the data and understanding of the target audience&#39;s behavior. The attribution period should be long enough to capture the true impact of changes in ad placement without eliminating potentially relevant data, such as 30 days."
101,A/B testing should be used because it is a comparison of two versions of an app page with different ad placements to find out which ads users click on more by collecting data and doing A/B testing and then concluding the results.
102,Reasons why Hamtaro should use A/B testing: 1. Save time and resources: A/B testing requires less cost and resources because it does not require testing on every user. 2. Reliable data: A/B testing helps to provide reliable data by comparing the changed group with the unchanged group.
103,"Granularity: user id because it is unique and some users may come to view repeatedly, which may cause the count to be over. Attribution period: 1 day because users are likely to come to view once a day and seeing the ad is a short time before deciding to click, so the attribution period should not be set to be too long."
104,"A 50/50 ratio will provide balanced data and a fair comparison between the two groups, but it may take longer to accumulate statistically significant data. An 80/20 ratio is useful where the impact on user experience is most likely to be minimized, but it may expose the data to greater risk of statistical error due to the smaller sample size. Choosing the right ratio depends on how flexible Hamtaro is to accept risks and the goals of the experiment."
105,"Using a binomial distribution is suitable to replace the distribution of A/B testing because it measures the probability of an ad click / no click. If measuring only one user, it will be a bernoulli distribution. But when counting all users in Hamtube, the total bernoulli will be a binomial distribution where all users are independent. "
106,"Assumption: People click on ads = get money Granularity: Use only hits because it doesn&#39;t matter who clicks, only cares about how many clicks Attribution period: 1 day because it&#39;s so easy to click ads"
107,"A/B testing is the right way for Hamtaro to test the placement of his ads on Hamtube for the following main reasons: 1. Evidence-based decision-making: A/B testing allows Hamtaro to make informed decisions. Comparing the results between the group that saw the ad in the original position (Group A) and the group that saw the ad in the new position (Group B) allows him to see how the change affects the clicks on his ads. 2. Controlling for noise: A/B testing provides the ability to control for noise and other variables that may affect the results. By randomly allocating users to each group, Hamtaro can be sure that the results are solely the result of the change in ad placement. 3. Accurate measurement: A/B testing allows Hamtaro to clearly and precisely measure the impact of the change. He can check whether the clicks on his ads increase and to what extent. 4. Risk reduction: Testing on a small scale before making a large-scale change reduces the risk of making a decision that may negatively affect the user experience or profitability. 5. Ability to continuously improve: The results from A/B testing can be used to continuously develop and improve the platform. If the change does not work, Hamtaro can experiment with new approaches."
108,- Can directly measure the effect of ad repositioning - Can tell whether ad repositioning has an effect on sales
109,I agree with using bernoulli because we have 2 possible scenarios: press and don&#39;t press the ad.
110,"A/B testing can be used in testing because we have metrics to measure the results, and this test is a test between the original (old ad position) and the new (new ad position)."
111,"This is appropriate because the Binomial distribution is suitable for experiments with only two outcomes (success or failure), and this A/B testing experiment has two outcomes: click on the ad or no click on the ad, which fits the characteristics of the Binomial distribution."
112,"A/B testing allows Hamtaro to test changes in ad placements against a control group that does not make changes, allowing him to determine whether moving ad placements would have an impact on sales and providing him with statistically sound data to make informed decisions about how to adjust his marketing plans."
113,"The advantage of using a 50/50 ratio is that it can work faster, but in exchange for the disadvantage that the risk of users not liking the move to a new ad is higher. The advantage of using an 80/20 ratio is that the risk of users not liking it is lower, but in exchange for it taking longer to collect data. Personally, I think using a 50/50 is better because moving the ad doesn&#39;t have much effect on users, and for increasing sales, the faster the data can be collected, the better."
114,"Agreed, because the outcome Hamtaro is interested in is &quot;Did the user click on the ad?&quot;, which is a binary value."
